Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Randrianaina, Georges Aaron; Khelladi, Djamel Eddine; Zendra, Olivier; Acher, Mathieu; ",Pyrobuilds: Enabling efficient exploration of linux configuration space with incremental build,,,,,2023,
"Grohmann, Johannes Sebastian; ",Model Learning for Performance Prediction of Cloud-native Microservice Applications,,,,,2022,Universität Würzburg
"Ritz, Benjamin; Felfernig, Alexander; Le, Viet-Man; Lubos, Sebastian; ",Solving Multi-Configuration Problems: A Performance Analysis with Choco Solver,arXiv preprint arXiv:2310.02658,,,,2023,
"Mittermaier, Michael; Saber, Takfarinas; Botterweck, Goetz; ",Learning Graph Configuration Spaces with Graph Embedding in Engineering Domains,"International Conference on Machine Learning, Optimization, and Data Science",,,334-348,2023,Springer
"Tërnava, Xhevahire; Acher, Mathieu; Combemale, Benoit; ",Specialization of run-time configuration space at compile-time: An exploratory study,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,,,1459-1468,2023,
"Alexander, Felfernig; Andreas, Falkner; David, Benavides; ","Feature models: AI-driven design, analysis and applications",,,,,2024,Springer Nature
"Rodrigues, João Marcello Bessa; Pereira, Juliana Alves; ",Effect of Feature Subset Selection on Samplings for Performance Prediction of Configurable Systems,Simpósio Brasileiro de Sistemas de Informação (SBSI),,,164-173,2024,SBC
"Friesel, Birte; Spinczyk, Olaf; ",Performance-Aware Behaviour Models for Feature-Dependent Runtime Attributes in Product Lines,,,,,2025,
"El Amraoui, Yassine; ",Facilitating human inclusion in the data science process: from capturing business requirements to designing an operational machine learning workflow,,,,,2024,Université Côte d'Azur
"Quinton, Clément; ","Evolving, Adapting and Optimizing Configurable Software Systems",,,,,2024,University of Lille
"Munoz, Daniel-Jesus; Pinto, Mónica; Gurov, Dilian; Fuentes, Lidia; ",Defining categorical reasoning of numerical feature models with feature-wise and variant-wise quality attributes,Proceedings of the 26th ACM International Systems and Software Product Line Conference-Volume B,,,132-139,2022,
"Garber, Damian; Felfernig, Alexander; Le, Viet-Man; Burgstaller, Tamim; El-Mansi, Merfat; ",An extensive comparison of preprocessing methods in the context of configuration space learning,Configuration (ConfWS 2024) co-located with the 30th,,,81,2024,
"Guégain, Edouard; ",Configuration-driven Software Optimization,,,,,2023,Université de Lille
"Hezaveh, Rezvan Mahdavi; ",A Comprehensive Model of Software Configuration,,,,,2023,North Carolina State University
"Stöckle, Patrick; ",A Holistic Approach for Security Configuration,,,,,2024,Technische Universität München
"Friesel, Daniel; Spinczyk, Olaf; ",Performance is not boolean: Supporting scalar configuration variables in nfp models,Tagungsband des FG-BS Frühjahrstreffens 2022,,,10.18420/fgbs2022f-03,2022,Gesellschaft für Informatik eV
"Muñoz-Guerra, Daniel Jesús; Pinto-Alarcón, Mónica; Gurov, Dilian; Fuentes-Fernández, Lidia; ",Defining Categorical Reasoning of Numerical Feature Models with Feature-Wise and Variant-Wise Quality Attributes,,,,,2022,ACM
"Horcas-Aguilera, José Miguel; Strüber, Daniel; Burdusel, Alexandru; Martínez, Jabier; Zschaler, Steffen; ",We’re Not Gonna Break It! Consistency-Preserving Operators for Efficient Product Line Configuration,,,,,2023,IEEE
"Mukelabai, Mukelabai; ",Facilitating Feature-Oriented Quality Assurance in Low-Maturity Variant-Rich Systems,,,,,2022,
"Xia, Yuanjie; Liao, Lizhi; Chen, Jinfu; Li, Heng; Shang, Weiyi; ",Reducing the Length of Field-replay Based Load Testing,IEEE Transactions on Software Engineering,,,,2024,IEEE
"TRANG, NGUYEN THU; ",Automated Localization and Repair for Variability Faults in Software Product Lines,,,,,,
"Randrianaina, Georges Aaron; Khelladi, Djamel Eddine; Zendra, Olivier; Acher, Mathieu; ",Pyrobuilds: Speeding Up the Exploration of Large Configuration Spaces with Incremental Build,Available at SSRN 5149719,,,,,
"Fernandez-Amoros, David; Heradio, Ruben; Horcas, Jose-Miguel; Galindo, José A; Benavides, David; Fuentes, Lidia; ",Pragmatic Random Sampling of Kconfig-Based Systems: A Unified Approach,Available at SSRN 5149686,,,,,
"Maumet, Camille; ",Towards reproducible neuroimaging: Solutions for sharing and re-using brain imaging data,,,,,2024,University of Rennes
"Quinton, Clément; ","Evolution, Adaptation et Optimisation de Systèmes Logiciel Configurables",,,,,2024,
"Guégain, Edouard; Bonvoisin, Alexandre; Acher, Mathieu; Quinton, Clément; Rouvoy, Romain; ",On the Interplay between Performance Indicators in Configurable Software: The Jhipster Case Study,Available at SSRN 4640065,,,,,
"Guégain, Edouard; ",Optimisation de logiciels par leur configuration,,,,,2023,
"Mukelabai, Mukelabai; Strüder, Stefan; Strüber, Daniel; Berger, Thorsten; ","Feature-Oriented Defect Prediction: Scenarios, Metrics, and Classifiers",arXiv preprint arXiv:2104.06161,,,,2021,
"Acher, Mathieu; ",Habilitation à diriger des recherches,,,,,,
"Acher, Mathieu; ","Modelling, Reverse Engineering, and Learning Software Variability",,,,,2021,Université de Rennes 1
"Martin, Hugo; ",Machine learning for performance modelling on colossal software configuration spaces,,,,,2021,Université de Rennes
"Uchôa, Anderson Gonçalves; ",Unveiling Social and Technical Facets of Design Degradation in Modern Code Review,,,,,2021,PUC-Rio
"Horcas, Jose-Miguel; Márquez, A Germán; Galindo, José A; Benavides, David; ",Monte Carlo Simulations for Variability Analyses in Highly Configurable Systems,,,,,2021,
"Mühlbauer, M Sc Stefan; ",Software Performance Modeling for Multi-Factor System Variability,,,,,,
"Oh, Jeho; Zilmano, Oleg; ",Scalable Performance Models for Highly Configurable Systems,,,,,,
"Lesoil, Luc; ",Deep software variability for resilient performance models of configurable systems,,,,,2023,Université de Rennes
